"","*** Alcohol Soft/DAEMON Tools ***"
"msvmscsi","Microsoft Virtual Machine SCSI Miniport Driver"
"mthca","Mellanox Technologies InfiniBand HCA Driver"
"MTiCtwl","Samsung LCD Video Monitor Utility"
"mtkwmptx","MediaTek WiMAX Modem Protocol Driver"
"Mtlmnt5","SmartLink Modem Driver"
"Mtlstrm","Smart Link SoftModem Stream Manager Driver"
"MtsTch","3M TouchWare Microtouch Touch Screen Driver"
"multikey","Chingachguk & Denger2k Virtual USB MultiKey Driver"
"Mup","Multiple UNC Provider Driver"
"mute2x","IBIK ASTER2X Multi-User Extension"
"mv2","UltraVNC Miniport Driver"
"mv61xx","Marvell Thor Windows Driver"
"mv61xxmm","Marvell Flash Aux NV Bridge DLL"
"mv91xx","Marvell 91xx SATA 6G Controller Driver"
"mvfs50","IBM ClearCase Driver"
"mvfs51","IBM Rational ClearCase Driver"
"mvsata","Marvell 91xx SATA 6G Controller Driver"
"mvstdi5x","!!! PSP: McAfee Virus Scan !!!"
"mvusbews","Marvell USB EWS Device Driver"
"mvxxmm","Marvell 91xx SATA 6G Controller Driver"
"mxcard","Moxa Intellio Family Port Enumerator Driver"
"mxcpx32","*** DANGEROUS MALWARE - SEEK HELP ASAP ***"
"MxlW2k","MusicMatch Access Layer Kernel Driver"
"MXOFX","Cypress USB Mass Storage Adapter Driver"
"mxopswd","Maxtor OneTouch Security Driver"
"mxport","Moxa Intellio Family Port Driver"
"mxser","Moxa Smartio/Industio Family Port Enumerator Driver"
"mxsport","Moxa Smartio/Industio Family Port Driver"
"Mydrivers32","Driver-Soft My Drivers Driver Genius 2011"
"n1000325","Compaq Gigabit Adapter/Module NDIS 5 Driver"
"n1000nt5","Compaq Gigabit Service Adapter Driver"
"n100325","Compaq Ethernet/Fast Ethernet Adapter Driver"
"n100nt5","Compaq NDIS 5.0 Driver"
"n1e5132","HP NC360T PCIe DP Gigabit Server Adapter"
"n5lpt","Nuber Five Parallel Port Helper Driver"
"naiavf5x","!!! PSP: McAfee Virus Scan !!!"
"NaiFsRec","!!! PSP: McAfee Virus Scan !!!"
"NAVAP","!!! PSP: Symantec AntiVirus !!!"
"NAVAPEL","!!! PSP: Symantec AntiVirus !!!"
"NAVENG","!!! PSP: Symantec AntiVirus !!!"
"NAVEX15","!!! PSP: Symantec AntiVirus !!!"
"nbf","Microsoft NetBEUI Frames Protocol Driver"
"NBSMI","TOSHIBA Notebook PC SMI Driver"
"nchssvad","NCH Swift Sound Virtual Audio Device"
"nckbdsup","VAP Net Control 2 Keyboard Support Driver"
"ncplentp","WatchGuard Secure Client Adapter Driver"
"ncpvaxp","NCP Secure VPN Client Adapter Driver"
"NCR_LKF","SteelEye LifeKeeper Filter Driver"
"NCRBus","NCR RealPOS Terminal Device Driver"
"NCREMOTEPCI","PLX NET2280/NET2282 in PCI Host Mode"
"NCRHAL_Darlington","NCR RealPOS Terminal Device Driver"
"NCRKMPDR","NCR RealPOS Terminal Device Driver"
"ncrwedge","NCR RealPOS Terminal Device Driver"
"ncvhook","VAP Net Control 2 Video Hook Miniport Driver"
"nd3wy","*** UNKNOWN - PLEASE PULL BACK ***"
"NDIS","NDIS System Driver"
"ndis32","*** UNKNOWN - PLEASE PULL BACK ***"
"ndis5mgr","*** FULLMOON ***"
"NDISAH","Antamedia HotSpot Helper Driver"
"ndisalex","*** SIG17 - FOLLOW GUIDANCE ***"
"ndiscapi","U.S. Robotics ISDN PCI Card CAPI Driver"
"ndiscdp","Cisco Discovery Protocol Driver"
"NDISFILT","!!! PSP: Norton Internet Security !!!"
"ndisio","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"Ndisio32","*** SIG17 - FOLLOW GUIDANCE ***"
"NdisIP","Microsoft IP Driver"
"ndisipo","NDIS User Mode I/O Driver"
"NDISKIO","!!! PSP: Norman Virus Control !!!"
"ndismd","!!! PSP: MegaDoctor Antivirus !!!"
"ndismplc","*** UNKNOWN - PLEASE PULL BACK ***"
"ndismplt","ArcNet NDIS Protocol Driver"
"NDISRD","NT Kernel Resources NDISRD Helper Driver"
"ndisrd","NT Kernel Resources NDISRD Helper Driver"
"ndisslip","Microsoft NDIS SLIP User Mode Library"
"NdisTapi","Remote Access NDIS TAPI Driver"
"ndisueio","Microsoft NDIS User Mode I/O Protocol Driver"
"Ndisuio","NDIS Usermode I/O Protocol"
"ndisvvan","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"NdisWan","Remote Access NDIS WAN Driver"
"ndisxapi","*** SIG30 - SEEK HELP ASAP ***"
"NDProxy","NDIS Proxy"
"NECPJTDI","NEC Viewtechnology Image Express Utility Driver"
"necpjvmd","NEC Viewtechnology Image Express Utility Driver"
"necpjvmd2","NEC Viewtechnology Image Express Utility Driver"
"necpjzc","NEC Projector Tools I/O Driver"
"NECRAS","NEC ESMPro Server Agent"
"Neo_0012","SoftEther VPN Client Device Driver"
"Neo_0058","SoftEther VPN Client Device Driver"
"neo20xx","Neo Magic Original Windows WDM Driver"
"NEOFLTR_630_13881","Juniper Secure Application Manager"
"NEOFLTR_630_14121","Juniper Secure Application Manager"
"NEOFLTR_650_14599","Juniper Secure Application Manager"
"NEOFLTR_700_16007","Juniper Secure Application Manager"
"net6im51","Citrix Secure Access Driver"
"NetAlrt","Intel Alert on LAN2 Driver"
"NetBIOS","NetBIOS Interface"
"NetBT","NetBios over TCPIP"
"netbz","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"NetDetect","NetDetect"
"netdevio","TOSHIBA Network Device Usermode I/O Protocol"
"NETFLTDI","!!! PSP: Panda Security !!!"
"netflx3","Compaq NetFlex-3 NDIS Miniport Driver"
"nethdlr","*** MISTYVEAL ***"
"neti1634","!!! PSP: Panda Security !!!"
"netio","*** ST MENTAL *** -OR- NETIO Legacy TDI Support Driver"
"NETIO","*** ST MENTAL *** -OR- NETIO Legacy TDI Support Driver"
"NETMD033","Sony Net MD USB Driver"
"netmst","*** SCOUTRUMMAGE/UNITEDRAKE ***"
"netne5","*** UNKNOWN - PLEASE PULL BACK ***"
"netprobe","Object Planet Network Probe"
"NetProt","*** UNKNOWN - PLEASE PULL BACK ***"
"NetUmf","*** UNKNOWN - PLEASE PULL BACK ***"
"netvsc50","Microsoft Virtual NDIS5 Miniport Driver"
"NETw3v32","Intel Wireless LAN Adapter Driver"
"NETw3x32","Intel Wireless LAN Driver"
"NETw4x32","Intel Wireless WiFi Link Driver"
"NETw5v32","Intel Wireless WiFi Link Adapter Driver"
"netw5v32","Intel Wireless WiFi Link Adapter Driver"
"NETw5x32","Intel Wireless WiFi Link Driver"
"NETwLx32","Intel WiFi Link 5000 Series Adapter Driver"
"NETwNx32","Intel Wireless WiFi Link Adapter Driver"
"new","*** UNKNOWN - PLEASE PULL BACK ***"
"NEWBOOT","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"nfid","SolarWinds Orion Failover Engine Filter Driver"
"NFPktfltr","VMWare vCenter Server Packet Filter Driver"
"nfrd960","IBM ServeRAID Controller Driver"
"nfrdperf","IBM Netfinity ServeRAID Controller Driver"
"nfsgwrdr","NetWare Redirector File System Driver"
"nfsrdr","Microsoft Client for NFS Driver"
"NfsRdr","Microsoft Driver Client for NFS"
"nfssvr","Windows NT NFS/Mount Driver"
"nfttgm","*** UNKNOWN - PLEASE PULL BACK ***"
"ngatastp","*** UNKNOWN - PLEASE PULL BACK ***"
"nglog","Aventail Connect VPN Driver"
"ngs","!!! PSP: Norman Virus Control !!!"
"ngvpn","Aventail Connect VPN Driver"
"Nh","Amicon FPSU-IP VPN Client"
"nhcimono","KeySpan USB Server Driver"
"NHOSTNT1","NetOp Business Solutions Driver"
"NHOSTNT3","NetOp Business Solutions Driver"
"NHOSTNT4","NetOp Business Solutions Driver"
"niarbk","National Instruments NI-ARB Kernel Library"
"nibffrk","National Instruments Buffer Services Kernel Library"
"nic1394","NDIS Miniport and Call Manager"
"nicdrk","National Instruments CDR Driver"
"NICFSFD","*** UNKNOWN - PLEASE PULL BACK ***"
"nicm","Novell Client for Windows"
"Nicm","Novell Client for Windows"
"nicnah","*** UNKNOWN - PLEASE PULL BACK ***"
"nictext","*** UNKNOWN - PLEASE PULL BACK ***"
"Nidaq32k","National Instruments NI-DAQ Kernel Driver"
"nidimk","National Instruments NIDIM Driver"
"nidmmk","National Instruments NIDMM Kernel Driver"
"niimaqk","National Instruments NI-IMAQ Driver"
"nimdbgk","National Instruments NIMDBG Driver"
"nimdbgkl","National Instruments DeBuG Library Driver"
"nimdsk","National Instruments NI-MDS Kernel Library"
"nimru2k","National Instruments NIMRU Driver"
"nimslk","National Instruments NIMSL Compatibility DLL"
"nimsrlk","National Instruments NIMSRL Compatibility DLL"
"nimstsk","National Instruments NIMSTS Driver"
"nimxdfk","National Instruments NIMXDF Driver"
"nimxdfkl","National Instruments NI mx Driver Framework"
"nimxpk","National Instruments NIMXP Driver"
"niorbk","National Instruments NIORB Driver"
"nipalk","National Instruments NI-PAL Driver"
"nipbcfk","National Instruments PCI Bridge Class Filter Driver"
"nipplpt","Novell iCapture Lpt Port Redirector Driver"
"nipxirmk","National Instruments PXIRM Driver"
"nipxirmkl","National Instruments NI PXI Resource Manager"
"niscdk","National Instruments NISCD Driver"
"NISDRV","!!! PSP: Norton Internet Security !!!"
"NisDrvWFP","!!! PSP: Microsoft Forefront Security !!!"
"nistck","National Instruments NISTC Driver"
"niswdk","National Instruments NISWD Driver"
"NiViPxiK","National Instruments NI-VISA PXI Passport PXIK Driver"
"NiViPxiKI","National Instruments NI-VISA PXI Passport PXIK Driver"
"NiViPxiKl","National Instruments NI-VISA PXI Driver"
"NkVBus","Nikon Virtual Bus Driver"
"nlolun","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"nls_295w","*** SCOUTRUMMAGE/UNITEDRAKE ***"
"nls_470u","*** SCOUTRUMMAGE/UNITEDRAKE ***"
"nls_875u","*** SUPERFLEX/OLYMPUS ***"
"nls_879u","*** SMOGSTRUCK/OLYMPUS ***"
"nls_895u","*** SHADOWFLEX/OLYMPUS ***"
"nltdi","!!! PSP: NetLimiter Network Traffic Monitor !!!"
"nm","Network Monitor Driver"
"nm3","Microsoft Network Monitor 3 Driver"
"nm6wdm","NeoMagic Magic Media WDM Adapter"
"nmfilter","!!! Compuware/Numega SoftICE Debugger !!!"
"NMnt","Microsoft Netmon NT Driver"
"NMntx","Microsoft Netmon NT Driver"
"NmPar","Windows PCI Parallel Port Driver"
"NMSCFG","Intel Management Configuration Driver"
"nmserial","Windows PCI Serial Port Driver"
"NmSvFsf","Symantec VERITAS Name Server FS Filter Driver"
"nmwcdsa","Nokia USB Phone Bus Driver"
"nmwcdsac","Nokia USB Phone Generic Client Driver"
"nmwcdsacj","Nokia USB Phone Modem Client Driver"
"nmwcdsacm","Nokia USB Phone Modem Client Driver"
"nnkey","Guardant Net USB Key Protection"
"NNTPFILT","!!! PSP: Agnitum Outpost Firewall !!!"
"nod32drv","!!! PSP: ESET Nod32 Anti-Virus !!!"
"normaliz","Microsoft Unicode Normalization DLL"
"nosr_2k","*** UNKNOWN - PLEASE PULL BACK ***"
"NPDRIVER","Norton Utilities SystemWorks"
"npdrv","Moxa NPort Server Device Driver"
"NPF","NetGroup Packet Filter Driver"
"Npfs","Named Piped File System Driver"
"NPFWFLT","Inca Internet nProtect GameGuard"
"npkakl","Inca Internet nProtect KeyCrypt Driver"
"npkcrypt","Inca Internet nProtect KeyCrypt Driver"
"npkcusb","Inca Internet nProtect KeyCrypt Driver"
"npptNT2","Inca Internet nProtect KeyCrypt Driver"
"npser","Moxa NPort Server System Driver"
"ns80573","Citrix NetScaler Secure Remote Access"
"Nsafepw","*** UNKNOWN - PLEASE PULL BACK ***"
"nsafltr","HP Server Agent Filter Driver"
"nsapci","HP Server Agent PCI Driver"
"nscirda","NSC Fast Infrared Driver"
"nsctpm11","National Semiconductor TPM Device Driver"
"nsctpm12","NSC TPM 1.2 Device Driver"
"NscTpmDD","NSC TPM Device Driver"
"nsecm","*** SIG19 - FOLLOW GUIDANCE ***"
"nsi","Microsoft NSI User-mode Interface DLL"
"nsiproxy","*** ST MENTAL *** -OR- Windows NSI Proxy Driver"
"nskbfltr","NetSupport Keybaord Filter Driver"
"ntapicti","*** UNKNOWN - PLEASE PULL BACK ***"
"NtApm","Windows NT Apm/Legacy Interface Driver"
"ntbios","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"ntdfr","*** UNKNOWN - PLEASE PULL BACK ***"
"ntdll","NT Layer DLL - NT Kernel Functions"
"ntdos505","*** SIG18 - FOLLOW GUIDANCE ***"
"ntevt","*** FLEWAVENUE ***"
"ntevt32","*** FLEWAVENUE (TEMP) ***"
"Ntfs","NT File System DLL"
"NtFsLdf20","Win2k DDK File Detection Driver"
"NTIDrvr","NTI CD-ROM Filter Driver"
"ntio410","*** UNKNOWN - PLEASE PULL BACK ***"
"ntiowp","CPUCooL the CooL CPU Program"
"ntkrnlpa","NT Kernel System"
"NTOSBOOT","*** UNKNOWN - PLEASE PULL BACK ***"
"ntoskrnl","Microsoft Boot up Kernel"
"NtProcDrv","Windows Process Creation Detector Driver"
"ntrbos","*** SIG35 - FOLLOW GUIDANCE ***"
"NtTdiDr","!!! PSP: NT KERNEL RESOURCES Local Network Monitor !!!"
"NuidFltr","Microsoft IntelliType Pro/IntelliPoint Driver"
"Null","Microsoft NULL Driver"
"nusb3hub","NEC USB 3.0 Hub Driver"
"nusb3xhc","NEC USB 3.0 Host Controller Driver"
"nv_agp","NVIDIA nForce AGP Filter Driver"
"nv4","NVIDIA Compatible Miniport Driver"
"nv4_disp","NVIDIA Compatible Display driver"
"nv4_mini","NVIDIA Compatible Miniport Driver"
"nvapu","NVIDIA nForce Audio Driver"
"nvarm","NVIDIA nForce Audio Driver"
"nvata","NVIDIA nForce ATA System Driver"
"nvatabus","NVIDIA nForce IDE Driver"
"nvax","NVIDIA nForce Audio Driver"
"nvBridge","NVIDIA Compatible Windows Vista Driver"
"nvcchflt","NVIDIA nForce Cache Filter Driver"
"nvDual","NVIDIA Dual Display Driver"
"NVENET","NVIDIA nForce MCP Networking Driver"
"NVENETFD","NVIDIA Networking Function Driver"
"nvgts","NVIDIA nForce SATA Performance Driver"
"nvhda32","NVIDIA HDMI Audio Driver"
"nvhda32v","NVIDIA HDMI Audio Driver"
"NVKEYNT","Guardant Net LPT Key Protection"
"NVKEYUSB","Guardant Stealth/Net I/II USB Dongle Device Driver"
"nvlddmkm","NVIDIA Compatible Windows Miniport Driver"
"nvm60x32","NVIDIA MCP Networking Function Driver"
"nvm62x32","NVIDIA MCP Networking Function Driver"
"nvmcp","NVIDIA nForce Audio Driver"
"nvmf6232","NVIDIA MCP Networking Function Driver"
"nvmini","NVIDIA Compatible Windows Miniport Driver"
"nvmpu401","NVIDIA nForce MPU401 Driver"
"NvNdis","NVIDIA NDIS IO Control Driver"
"nvnetbus","NVIDIA Networking Bus Driver"
"NVNRM","NVIDIA nForce Networking Controller Driver"
"nvraid","NVIDIA nForce RAID Driver"
"nvrd32","NVIDIA nForce RAID Driver"
"nvsmu","NVIDIA nForce PCA Driver"
"NVSNPU","NVIDIA Networking Soft-NPU Driver"
"nvstor","NVIDIA Storage System Driver"
"nvstor32","NVIDIA nForce SATA Driver"
"NVTcp","NVIDIA Networking Protocol Driver"
"nwcmd","Novell Compatibility Mode Driver"
"nwcmd10","Novell Compatibility Mode Driver"
"nwcmd11","Novell Compatibility Mode Driver"
"nwcmd12","Novell Compatibility Mode Driver"
"nwcmd13","Novell Compatibility Mode Driver"
"nwcmd14","Novell Compatibility Mode Driver"
"nwcmd15","Novell Compatibility Mode Driver"
"nwcmd16","Novell Compatibility Mode Driver"
"nwcmd17","Novell Compatibility Mode Driver"
"nwcmd2","Novell Compatibility Mode Driver"
"nwcmd4","Novell Compatibility Mode Driver"
"nwcmd5","Novell Compatibility Mode Driver"
"nwcmd6","Novell Compatibility Mode Driver"
"nwcmd7","Novell Compatibility Mode Driver"
"nwcmd8","Novell Compatibility Mode Driver"
"nwcmd9","Novell Compatibility Mode Driver"
"nwdhcp","Novell DCHP Inform Client"
"nwdns","Novell DNS Name Space Service Provider"
"nwfilter","Novell Client"
"nwfs","Novell Netware Redirector"
"NWHOST","Novell Host File Name Space Service Provider"
"nwifi","Microsoft NativeWifi Miniport Driver"
"nwlfi","*** DARKSKYLINE MENTAL ***"
"NwlnkFlt","IPX Traffic Filter Driver"
"NwlnkFwd","IPX Traffic Forwarder Driver"
"nwlnkipx","Microsoft NWLINK2 IPX Protocol Driver"
"nwlnknb","Microsoft NWLINK2 IPX Netbios Protocol Driver"
"nwlnkspx","Microsoft NWLINK2 SPX Protocol Driver"
"nwrdr","Microsoft NetWare Redirector File System Driver"
"nwrdrnt","*** UNKNOWN - PLEASE PULL BACK ***"
"NWSAP","Novell Client"
"nwsipx32","Novell Client"
"nwslp","Novell Client for Windows"
"NWSNS","Novell Client"
"nxsIO32","Showshock NextSensor Kernel I/O Driver"
"nxtdrv","!!! PSP: NEXThink Collector Endpoint Network Monitor !!!"
"o200avs","ViewCast Osprey Video Driver"
"o2mdg","O2Micro MS/PRO Disk Device Driver"
"o2media","O2Micro O2Media Device Driver"
"o2sd","O2Micro SD Reader Driver"
"o2sdg","O2Micro Card Reader Controller Driver"
"o2vnic","O2Micro Succendo NC Adapter Driver"
"o8e5FZqn","*** POSSIBLE MALWARE - FOLLOW GUIDANCE ***"
"OA001Ufd","Creative Camera OA001 Upper Filter Driver"
"OA001Vid","Creative Video Capture Device Driver"
"OA009Afx","Creative Advanced Audio FX Driver"
"OA009Udf","Creative Video Class Upper Filter Driver"
"OA009Ufd","Creative Video Class Upper Filter Driver"
"OA009Vid","Creative Video Capture Device Driver"
"OBNfeNt","!!! PSP: AhnLab V3 Internet Security !!!"
"obpocch","*** UNKNOWN - PLEASE PULL BACK ***"
"obvious","H+H Software Virtual CD Driver"
"OEM02Afx","Creative Advanced Audio FX Driver"
"OEM02Dev","Creative Video Capture Device Driver"
"OEM02Vfx","EyePower Games Advanced FX Filter Driver"
"OEM13Afx","Creative OEM13 Laptop Integrated Webcam"
"OEM13Vfx","Creative OEM13 Laptop Integrated Webcam"
"OEM13Vid","Creative OEM13 Laptop Integrated Webcam"
"oenfqgqam","*** UNKNOWN - PLEASE PULL BACK ***"
"ofant","Computer Associates Backup Agent Driver"
"OfmLvDrv","St Bernard Open File Manager LV Filter Driver"
"ohci1394","Open HCI Port Driver"
"ohnmjs","*** UNKNOWN - PLEASE PULL BACK ***"
"OHQxUb65","*** UNKNOWN - PLEASE PULL BACK ***"
"ojqptn","*** UNKNOWN - PLEASE PULL BACK ***"
"OKIPAR","Oki Parallel Class Driver"
"ole32","Microsoft OLE Library"
"oleaut32","Microsoft OLE Library"
"olfdnt40","Symantec Fax Starter Edition Printer Driver"
"olok_2k","*** KILLSUIT LOADER DRIVE - REMOVE ME ***"
"OMCI","Dell OMCI Device Driver"
"omdrv","Check Point Virtual Network Adapter Driver"
"omihar","*** UNKNOWN - PLEASE PULL BACK ***"
"omkeatl","*** UNKNOWN - PLEASE PULL BACK ***"
"Omni97","CSM PC Card OmniDrive"
"ompmenv","*** UNKNOWN - PLEASE PULL BACK ***"
"omratcch","*** UNKNOWN - PLEASE PULL BACK ***"
"ONDAusbmdm6k","QUALCOMM ONDA Proprietary USB Driver"
"ONDAusbnmea","QUALCOMM ONDA Proprietary USB Driver"
"ONDAusbser6k","QUALCOMM ONDA Proprietary USB Driver"
"ontapdsm","IBM Data ONTAP DSM for Windows MPIO"
"oodisr","O&O DiskImage Snapshot/Restore Driver"
"oodisrh","O&O DiskImage Snapshot/Restore Helper Driver"
"oodivd","O&O DiskImage Virtual Disk Driver"
"oodivdh","O&O DiskImage Virtual Disk Helper Driver"
"open1x","GNU Open Source IEEE 802.1X Protocol Driver"
"openhci","Microsoft USB Driver"
"oplemflt","*** KILLSUIT LAUNCHER DRIVER - REMOVE ME ***"
"OPP5E_KM","OKI OKIPAGE 14i Spanish Okipage 14i PCL Driver"
"OPRGHDLR","Microsoft ACPI Operation Registration Driver"
"Oreans","Oreans Software Protection Driver"
"oreans32","Oreans Gaming File Protection Driver"
"OsaFsLoc","OSA Filesystem Lock Driver"
"osaio","OSA I/O Port Driver"
"osdl_2k","*** UNKNOWN - PLEASE PULL BACK ***"
"OsiData","!!! Compuware/Numega SoftICE Debugger !!!"
"OsiGpib","GPIB PCI/ISA Device Driver"
"OsiLLC_npf","OSI LLC Protocol Network Packet Filter Driver"
"otman5","Symantec VERITAS NetBackup Driver"
"otpemod","*** KILLSUIT LAUNCHER DRIVER - REMOVE ME ***"
"ousb2hub","OrangeWare USB 2.0 Root Hub Driver"
"ousbehci","OrangeWare USB Enhanced Host Controller Driver"
"OVCAM2","Logitech Video Driver"
"OVCD","Microsoft Video Minidriver"
"OVCODEK2","Microsoft Video Codec Driver"
"Over_Pro","Symantec VERITAS Overland LibrarPro Changer VSD Driver"
"owdrim","*** UNKNOWN - PLEASE PULL BACK ***"
"oz776","O2Micro USB CCID SmartCard Reader"
"P1100CDI","Creative Camera HAL Service Driver"
"P17","Creative SB Audigy LS Driver"
"p3","Microsoft Processor Device Driver"
"PAC7302","PixArt PC Camera Software Driver"
"pacer","*** ST MENTAL *** -OR- Windows QoS Scheduler Driver"
"packet","SingleClick/Mercury Webtrace Packet Capture Driver"
"packet_30","Politecnico de Torino Network Packet Filter"
"packet_40","Websense Web Security WinPcap Driver"
"pajcjd","*** KNOWN MALWARE - FOLLOW GUIDANCE ***"
"pal_drv","Mercury Interactive Astra Quicktest Driver"
"pamesp","*** UNKNOWN - PLEASE PULL BACK ***"
"panpen","*** UNKNOWN - PLEASE PULL BACK ***"
"Par1284","Warp Nine IEEE 1284 Driver"
"Parallel","Parallel class driver"
"paravdm","*** SIG17 - FOLLOW GUIDANCE ***"
"parldr2k","Data Encryption Systems Parallel Loader Driver"
"ParMon","*** UNKNOWN - PLEASE PULL BACK ***"
"Parport","Parallel port driver"
"PartMgr","Partition Manager"
"ParVdm","VDM Parallel Driver"
"passthruparser","Microsoft Hyper-V Virtual Server Driver"
"pavboot","!!! PSP: Panda Security !!!"
"pavdrv","!!! PSP: Panda Antivirus !!!"
"PavDrv50","!!! PSP: Panda Security !!!"
"pavdrv51","!!! PSP: Panda Security !!!"
"PavProc","!!! PSP: Panda Security !!!"
"PavTPK","!!! PSP: Panda Internet Security !!!"
"PBADRV","Dell PBA Support Driver"
"pbadrv","Dell PBA Support Driver"
"PCA200E","Marconi ForeRunner ATM Adapter Card Driver"
"PCASp50","PCA USA NDIS 5.0 SPR Protocol Driver"
"Pcatip","VSO Patin-Couffin Autoplay Support Driver"
"pccsmcfd","Nokia PCCS Mode Change Filter Driver"
"PCDNRelay","*** UNKNOWN - PLEASE PULL BACK ***"
"PcdrNt","PC-Doctor NT Support Driver"
"PCI","PCI Bus Driver"
"pciconf","Intel Server Control PCI Driver"
"pciide","PCI IDE Bus Driver"
"pciidex","PCI IDE Bus Driver"
"PciIsaSerial","MosChip PCI-ISA Communication Port Driver"
"PciPPorts","Microsoft Parallel Driver for PCI Parallel Port"
"PciSPorts","MosChip PCI-ISA Communication Port Driver"
"PCISys","NetSupport PCISYS Driver"
"pcisys","NetSupport PCISYS Driver"
"pclepci","Pinnacle Systems PCI Driver"
"Pcmcia","Microsoft PCMCIA Bus Driver"
"PCnet","AMD PCNET Compatable Adapter Driver"
"pcntn5m","AMD PCnet Family Network Driver"
"pcntpci5","AMD NDIS 5.0 Driver"
"Pcouffin","VSO Software DVD Decoder Driver"
"pcouffin","VSO Software DVD Decoder Driver"
"PcscInfs","Mingwah PC/SC Virtual Reader Driver"
"PCTAppEvent","!!! PSP: PC Tools Firewall !!!"
"PCTCore","!!! PSP: PC Tools Firewall !!!"
"pctDS","!!! PSP: PC Tools Security !!!"
"pctEFA","!!! PSP: PC Tools Security !!!"
"pctgntdi","!!! PSP: PC Tools Firewall !!!"
"PCTSDInj32","!!! PSP: PC Tools Spyware Doctor !!!"
"pctvvbi","Pinnacle WDM PCTV Video Capture Driver"
"pcw","PCWorker Recording Software"
"pcx500","Cisco Systems Wireless LAN Adapter Driver"
"pdcrypt1","Citrix MetaFrame XP Encryption Protocol Driver"
"PDFKD","Adobe Acrobat PDFWriter Driver"
